barcode	sample_id	assembly_file	busco_name	earlgrey_species	funannotate_name	funannotate_species	protein_evidence_file	antismash_file
barcode01	Fus_Bar01	Fus_Bar01_polished.fasta	Fus_Bar01_busco	Fus_Bar01	FunAnnotate_Fus_Bar01	Fusarium verticillioides	Fverticillioides_refseq.faa	Fus_Bar01.scaffolds_antiSMASH.gbk
barcode02	Fus_Bar02	Fus_Bar02_polished.fasta	Fus_Bar02_busco	Fus_Bar02	FunAnnotate_Fus_Bar02	Fusarium proliferatum	Fproliferatum_refseq.faa	Fus_Bar02.scaffolds_antiSMASH.gbk
barcode04	Fus_Bar04	Fus_Bar04_polished.fasta	Fus_Bar04_busco	Fus_Bar04	FunAnnotate_Fus_Bar04	Fusarium graminearum	Fgraminearum_refseq.faa	Fus_Bar04.scaffolds_antiSMASH.gbk
barcode05	Fus_Bar05	Fus_Bar05_polished.fasta	Fus_Bar05_busco	Fus_Bar05	FunAnnotate_Fus_Bar05	Fusarium annulatum	Fannulatum_refseq.faa	Fus_Bar05.scaffolds_antiSMASH.gbk
barcode06	Fus_Bar06	Fus_Bar06_polished.fasta	Fus_Bar06_busco	Fus_Bar06	FunAnnotate_Fus_Bar06	Fusarium graminearum	Fgraminearum_refseq.faa	Fus_Bar06.scaffolds_antiSMASH.gbk
barcode07	Fus_Bar07	Fus_Bar07_polished.fasta	Fus_Bar07_busco	Fus_Bar07	FunAnnotate_Fus_Bar07	Fusarium graminearum	Fgraminearum_refseq.faa	Fus_Bar07.scaffolds_antiSMASH.gbk
barcode08	Fus_Bar08	Fus_Bar08_polished.fasta	Fus_Bar08_busco	Fus_Bar08	FunAnnotate_Fus_Bar08	Fusarium sporotrichioides	Fsporotrichioides_refseq.faa	Fus_Bar08.scaffolds_antiSMASH.gbk
