barcode	sample_id	assembly_file	busco_name	earlgrey_species	funannotate_name	funannotate_species	protein_evidence_file	antismash_file
barcode73	Fus_Bar73	Fus_Bar73_polished.fasta	Fus_Bar73_busco	Fus_Bar73	FunAnnotate_Fus_Bar73	Fusarium graminearum	F_graminearum_PH1_proteins.faa	Fus_Bar73.scaffolds_antiSMASH.gbk
barcode74	Fus_Bar74	Fus_Bar74_polished.fasta	Fus_Bar74_busco	Fus_Bar74	FunAnnotate_Fus_Bar74	Fusarium annulatum	F_verticillioides_7600_proteins.faa	Fus_Bar74.scaffolds_antiSMASH.gbk
barcode75	Fus_Bar75	Fus_Bar75_polished.fasta	Fus_Bar75_busco	Fus_Bar75	FunAnnotate_Fus_Bar75	Fusarium subglutinans	F_verticillioides_7600_proteins.faa	Fus_Bar75.scaffolds_antiSMASH.gbk
barcode76	Fus_Bar76	Fus_Bar76_polished.fasta	Fus_Bar76_busco	Fus_Bar76	FunAnnotate_Fus_Bar76	Fusarium graminearum	F_graminearum_PH1_proteins.faa	Fus_Bar76.scaffolds_antiSMASH.gbk
barcode81	Fus_Bar81	Fus_Bar81_polished.fasta	Fus_Bar81_busco	Fus_Bar81	FunAnnotate_Fus_Bar81	Fusarium subglutinans	F_verticillioides_7600_proteins.faa	Fus_Bar81.scaffolds_antiSMASH.gbk
barcode82	Fus_Bar82	Fus_Bar82_polished.fasta	Fus_Bar82_busco	Fus_Bar82	FunAnnotate_Fus_Bar82	Fusarium sporotrichioides	F_graminearum_PH1_proteins.faa	Fus_Bar82.scaffolds_antiSMASH.gbk
barcode83	Fus_Bar83	Fus_Bar83_polished.fasta	Fus_Bar83_busco	Fus_Bar83	FunAnnotate_Fus_Bar83	Fusarium verticillioides	F_verticillioides_7600_proteins.faa	Fus_Bar83.scaffolds_antiSMASH.gbk
barcode84	Fus_Bar84	Fus_Bar84_polished.fasta	Fus_Bar84_busco	Fus_Bar84	FunAnnotate_Fus_Bar84	Fusarium fujikuroi	F_verticillioides_7600_proteins.faa	Fus_Bar84.scaffolds_antiSMASH.gbk
